id,created_at,updated_at,user_id,content_id,content_type,rating,feedback
00a7af6c-80d9-4b69-a072-3d211a368ef3,2025-10-19 10:20:28.682349+00,2025-10-19 10:20:28.682349+00,5a428934-0c91-4244-b853-67c17d62c72d,e3d7dfe2-ad6c-4b4c-a501-986c05dd9ad3,summary,5,[]
0193efc2-2a2a-4969-b2ae-2f7ec32d97f1,2025-09-29 06:56:49.505612+00,2025-09-29 06:56:49.505612+00,22013dce-42c3-4c18-889f-0ad995dc045e,2b596717-2692-44b6-a768-5339499c4490,summary,5,"[""Well structured""]"
0286b0b2-1f07-47dc-af7c-afb25f873e10,2025-10-17 03:31:29.000658+00,2025-10-17 03:31:29.000658+00,9a5d6755-5a4a-4535-893a-abb646f217d2,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,5,[]
03b695a0-a51a-4cdb-a318-37163df4a99b,2025-10-03 02:12:09.566463+00,2025-10-03 02:12:09.566463+00,82fbb04c-e54d-4637-97d7-336607c7d58e,43a719d1-b700-44c8-8176-695050ce0287,summary,5,"[""Well structured""]"
03cd83bf-b56e-48e2-809c-33e19e8d1ca2,2025-10-28 14:03:44.448547+00,2025-10-28 14:03:44.448547+00,494578f6-d4af-476b-8f1f-e31d8e04563b,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,5,[]
041e6d38-16a2-4338-9d48-728ef4f4b0c9,2025-10-02 05:16:50.958906+00,2025-10-02 05:16:50.958906+00,daa21ec4-2cd2-4724-bf63-eec668de557f,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,5,"[""Easy to follow"",""Well structured""]"
04227b20-ab3d-40b3-943f-8345d956ad2a,2025-10-11 17:16:14.56897+00,2025-10-11 17:16:14.56897+00,9a5d6755-5a4a-4535-893a-abb646f217d2,2b596717-2692-44b6-a768-5339499c4490,summary,5,[]
058ec1b6-0b04-4dde-a9fc-0e545a70286d,2025-10-28 06:35:25.449212+00,2025-10-28 06:35:25.449212+00,4151355e-80fb-4d54-91ab-83c9824fe5fa,43a719d1-b700-44c8-8176-695050ce0287,summary,5,"[""Pleasant voice"",""Good pronunciation"",""Easy to follow"",""Well structured""]"
07de2f08-3561-443a-9097-2702e70f30e3,2025-10-14 10:18:09.75983+00,2025-10-14 10:18:09.75983+00,196a150e-f77b-45a2-aab1-6ce8ea9060bf,2610c709-8108-4e18-aca5-a71b6e8e9fc3,summary,4,[]
07ed745d-55a5-40e4-8113-ad7556e981e6,2025-09-30 03:01:01.979381+00,2025-09-30 03:01:01.979381+00,432d579f-7c9a-4364-9eb2-d86579c42dbc,7ea24f8e-ccaf-4881-9231-b0c9597ad808,summary,5,"[""Pleasant voice""]"
088c5f65-9a6d-4ed2-9650-2a59a418a07c,2025-10-07 11:43:54.305751+00,2025-10-07 11:43:54.305751+00,824d3f93-b1de-4da2-af4a-9044c93fc354,4e9f1799-8847-4fe5-9310-d01ffe5dd2c0,summary,5,[]
09828103-0f00-41b3-ba90-e511839f48fe,2025-10-02 12:37:26.787011+00,2025-10-02 12:37:26.787011+00,2be57029-0493-46b5-bc24-f302498c2de0,a3a943ba-0df0-4645-9019-a05abdd2b030,summary,4,[]
09f391fb-7ebb-4227-8f2f-c920d8b9e189,2025-10-15 02:29:21.516449+00,2025-10-15 02:29:21.516449+00,53f83cb1-cdb9-49b6-82cd-2a480c803d01,7ea24f8e-ccaf-4881-9231-b0c9597ad808,summary,5,"[""Right level of detail""]"
0a29e29a-eb3b-4284-b5e8-c3500e92effa,2025-10-29 04:16:46.069116+00,2025-10-29 04:16:46.069116+00,ad68ade5-d302-456c-89c0-992c30463a13,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,5,"[""Right level of detail""]"
